date,unit_nav,cumulative_nav,adjusted_nav,change_pct,id,fid,source,insert_date
2025-09-30,1.541,1.635,1.65749231,-0.12961762999999998,77935434,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-09-26,1.543,1.637,1.6596435,-0.643915,77935433,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-09-19,1.553,1.647,1.67039946,0.12894907,77935432,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-09-12,1.551,1.645,1.66824826,-0.51314945,77935431,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-09-05,1.559,1.653,1.67685303,1.03694102,77935430,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-08-29,1.543,1.637,1.6596435,-0.38734668,77935429,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-08-22,1.549,1.643,1.66609707,0.19404916,77935428,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-08-15,1.546,1.64,1.66287029,-1.27713921,77935427,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-08-08,1.566,1.66,1.68438219,1.49060272,77935426,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-08-01,1.543,1.637,1.6596435,0.45572916999999996,77935425,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-07-25,1.536,1.63,1.65211434,0.85357846,77935424,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-07-18,1.523,1.617,1.6381316,0.0,77935423,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-07-11,1.523,1.617,1.6381316,0.06570302,77935422,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-07-04,1.522,1.616,1.637056,0.46204619999999996,77935421,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-06-27,1.515,1.609,1.62952684,0.59760956,77935420,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-06-20,1.506,1.6,1.61984648,-0.72511536,77935419,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-06-13,1.517,1.611,1.63167803,-0.26298488,77935418,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-06-06,1.521,1.615,1.63598041,0.66181337,77935417,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-05-30,1.511,1.605,1.62522445,0.33200531,77935416,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-05-23,1.506,1.6,1.61984648,-0.13262599,77935415,1efcf35e914e1b54,10,2026-06-30 11:05:17
2025-05-16,1.508,1.602,1.62199767,1.07238606,77935414,1efcf35e914e1b54,10,2026-06-30 11:05:17
